zip,total,overall_total,percent_total
21493,50,20328513.18,2.459599458025882e-6
21498,150,20328513.18,7.3787983740776465e-6
21501,115,20328513.18,5.657078753459529e-6
21502,30686.86,20328513.18,0.0015095476844903225
21503,103,20328513.18,5.066774883533317e-6
21504,5.5,20328513.18,2.7055594038284703e-7
21520,172.5,20328513.18,8.485618130189292e-6
21521,168.5,20328513.18,8.288850173547223e-6
21530,5845.3,20328513.18,2.875419342399738e-4
21531,446.1,20328513.18,2.1944546364506923e-5
21532,7935.4,20328513.18,3.903581107843717e-4
21536,1244.3,20328513.18,6.12095921124321e-5
21539,97,20328513.18,4.7716229485702116e-6
21541,1165.67,20328513.18,5.7341626004740604e-5
21545,173.5,20328513.18,8.534810119349811e-6
21550,9914.01,20328513.18,4.876898724572635e-4
21555,4643,20328513.18,2.283984056722834e-4
21557,165,20328513.18,8.11667821148541e-6
21560,13,20328513.18,6.394958590867294e-7
21561,2350.7,20328513.18,1.1563560891962882e-4
21562,174,20328513.18,8.55940611393007e-6
21592,16.5,20328513.18,8.11667821148541e-7
21601,98872.32,20328513.18,0.004863726093715232
21602,5,20328513.18,2.459599458025882e-7
21607,110,20328513.18,5.411118807656941e-6
21610,9877.32,20328513.18,4.858850183749641e-4
21612,4548,20328513.18,2.2372516670203423e-4
21613,21287.97,20328513.18,0.0010471975894894249
21614,15,20328513.18,7.378798374077646e-7
21617,11513.66,20328513.18,5.663798379178856e-4
21619,17950.83,20328513.18,8.83037034782295e-4
21620,91615.14,20328513.18,0.004506730973819306
21622,55,20328513.18,2.7055594038284704e-6
21623,2102.5,20328513.18,1.0342615720998834e-4
21624,1341,20328513.18,6.596645746425415e-5
21625,1094.22,20328513.18,5.3826858379221614e-5
21628,483.5,20328513.18,2.378432675911028e-5
21629,4987.22,20328513.18,2.453312721811168e-4
21631,152.5,20328513.18,7.5017783469789405e-6
21632,3807.83,20328513.18,1.8731473208509388e-4
21635,3784.59,20328513.18,1.8617151025700346e-4
21636,211,20328513.18,1.0379509712869223e-5
21638,8485.12,20328513.18,4.173999310656915e-4
21639,2797.75,20328513.18,1.3762688767383823e-4
21640,15,20328513.18,7.378798374077646e-7
21641,88,20328513.18,4.3288950461255525e-6
21643,3808.88,20328513.18,1.8736638367371244e-4
21645,2012.83,20328513.18,9.901511154196472e-5
21647,3788.28,20328513.18,1.863530286970058e-4
21649,241.5,20328513.18,1.187986538226501e-5
21650,2846,20328513.18,1.4000040115083322e-4
21651,1921,20328513.18,9.449781117735439e-5
21652,1204.36,20328513.18,5.924486406536102e-5
21653,16,20328513.18,7.870718265682823e-7
21654,55050.57,20328513.18,0.0027080470427203176
21655,1154,20328513.18,5.676755549123736e-5
21657,2191.5,20328513.18,1.0780424424527441e-4
21658,6788.15,20328513.18,3.339226012199678e-4
21660,3022,20328513.18,1.486581912430843e-4
21661,4998.62,20328513.18,2.458920608575467e-4
21662,38539.58,20328513.18,0.0018958386016109025
21663,36987.95,20328513.18,0.0018195108354697683
21664,35,20328513.18,1.7217196206181174e-6
21665,1187,20328513.18,5.839089113353444e-5
21666,19029.29,20328513.18,9.360886274123468e-4
21667,2544.34,20328513.18,1.2516114570067146e-4
21668,791.3,20328513.18,3.892562102271761e-5
